"Step","diversified_novelty_parentsampling_sp - cover_rate_5step","diversified_novelty_parentsampling_sp_seed2 - cover_rate_5step","diversified_novelty_parentsampling_sp_seed3 - cover_rate_5step"
"29295000","0.8997999999999999","0.8994","0.9015"
"29400000","0.8947999999999999","0.8964","0.9026"
"29505000","0.9204","0.9018","0.9114"
"29610000","0.9167","0.9041","0.9094"
"29715000","0.9149","0.9081","0.8973"
"29820000","0.9166","0.9016","0.9028"
"29925000","0.9034","0.9122","0.9122"
"30030000","0.9105","0.8976000000000001","0.8974"
"30135000","0.9141","0.9044","0.9017"
"30240000","0.9001","0.9087","0.9131"
"30345000","0.9113","0.8842000000000001","0.9071"
"30450000","0.9178","0.8857","0.9007000000000001"
"30555000","0.9","0.9022","0.8915"
"30660000","0.9226","0.8975","0.8953000000000001"
"30765000","0.9137","0.8880999999999999","0.9041"
"30870000","0.911","0.9018999999999998","0.9036"
"30975000","0.9073","0.8994","0.9005"
"31080000","0.9193","0.8941","0.9045"
"31185000","0.9161","0.8966999999999999","0.9042"
"31290000","0.9123","0.886","0.9037"
"31395000","0.9239","0.9000999999999999","0.9106"
"31500000","0.9196","0.8967","0.9056"
"31605000","0.92","0.9046","0.9036"
"31710000","0.9361","0.8984","0.8957"
"31815000","0.9248","0.8915","0.8989000000000001"
"31920000","0.9219","0.898","0.8753"
"32025000","0.9171","0.8994","0.8827999999999999"
"32130000","0.9216","0.9025","0.8806"
"32235000","0.926","0.9082","0.8924"
"32340000","0.9157","0.9206","0.8874000000000001"
"32445000","0.9336","0.916","0.8773000000000001"
"32550000","0.9314","0.9051","0.8837"
"32655000","0.9385","0.9169","0.8933"
"32760000","0.938","0.8998999999999999","0.883"
"32865000","0.9314","0.8959","0.8917"
"32970000","0.9232","0.9002","0.8884"
"33075000","0.9361","0.8977","0.8937"
"33180000","0.9484","0.8990999999999999","0.8884"
"33285000","0.9383","0.9015","0.8793"
"33390000","0.9365","0.9188","0.8847999999999999"
"33495000","0.9395","0.8944","0.8737"
"33600000","0.938","0.9036","0.8986"
"33705000","0.9456","0.9266","0.8923"
"33810000","0.9355","0.9203","0.8843"
"33915000","0.9387","0.9249","0.8881999999999999"
"34020000","0.9435","0.9171","0.8942"
"34125000","0.9313","0.9167","0.885"
"34230000","0.9426","0.9252","0.9038"
"34335000","0.9401","0.9229","0.8959"
"34440000","0.9386","0.9094","0.9096"
"34545000","0.9453","0.9136","0.9039"
"34650000","0.945","0.9216","0.8974000000000001"
"34755000","0.9391","0.9187","0.9126"
"34860000","0.9274","0.9149","0.9076"
"34965000","0.9297","0.9419","0.8991"
"35070000","0.9421","0.9178","0.9026"
"35175000","0.9333","0.9058","0.8984000000000001"
"35280000","0.9337","0.921","0.9094"
"35385000","0.9399","0.9249","0.9156"
"35490000","0.9505","0.931","0.9169"
"35595000","0.9485","0.9327","0.9177"
"35700000","0.9591","0.93","0.8976"
"35805000","0.9557","0.945","0.912"
"35910000","0.9574","0.9297","0.9201"
"36015000","0.9565","0.9321","0.906"
"36120000","0.9608","0.9125","0.9207"
"36225000","0.9642","0.918","0.9167"
"36330000","0.9649","0.935","0.9099"
"36435000","0.9517","0.9288","0.9178"
"36540000","0.9607","0.9208","0.9217"
"36645000","0.9587","0.9285","0.9095"
"36750000","0.9642","0.9151","0.9161"
"36855000","0.9582","0.9135","0.9125"
"36960000","0.9622","0.9161","0.9216"
"37065000","0.9539","0.9299","0.929"
"37170000","0.96","0.9282","0.9308"
"37275000","0.9622","0.9401","0.932"
"37380000","0.9647","0.9467","0.9319"
"37485000","0.9638","0.9343","0.9259"
"37590000","0.9549","0.9493","0.9303"
"37695000","0.9624","0.9452","0.9168"
"37800000","0.9643","0.9403","0.9241"
"37905000","0.9644","0.9361","0.9308"
"38010000","0.9546","0.9419","0.9224"
"38115000","0.9664","0.9443","0.9246"
"38220000","0.97","0.9382","0.9212"
"38325000","0.965","0.9354","0.923"
"38430000","0.9624","0.936","0.9202"
"38535000","0.9701","0.9293","0.9246"
"38640000","0.963","0.9442","0.9325"
"38745000","0.9584","0.9383","0.9315"
"38850000","0.9543","0.9486","0.9244"
"38955000","0.9674","0.9421","0.9421"
"39060000","0.9667","0.9487","0.9417"
"39165000","0.9626","0.9281","0.946"
"39270000","0.9739","0.9371","0.9335"
"39375000","0.9672","0.9404","0.9365"
"39480000","0.9634","0.9485","0.9435"
"39585000","0.9681","0.9569","0.9424"
"39690000","0.9642","0.953","0.9269"
"39795000","0.9682","0.9689","0.9288"
"39900000","0.9723","0.9574","0.9312"
