"Step","unif_pb_2agents_seed1 - 2cover_rate"
"50520000","0.367"
"50580000","0.3713999999999999"
"50640000","0.3912000000000001"
"50700000","0.3848"
"50760000","0.3944"
"50820000","0.3888"
"50880000","0.3766000000000001"
"50940000","0.3856"
"51000000","0.3692"
"51060000","0.3932000000000001"
"51120000","0.381"
"51180000","0.3768"
"51240000","0.3927999999999999"
"51300000","0.415"
"51360000","0.3934"
"51420000","0.3792"
"51480000","0.383"
"51540000","0.3854"
"51600000","0.392"
"51660000","0.3884"
"51720000","0.3962000000000001"
"51780000","0.3912000000000001"
"51840000","0.3898"
"51900000","0.4112"
"51960000","0.386"
"52020000","0.4208"
"52080000","0.407"
"52140000","0.3998"
"52200000","0.424"
"52260000","0.3882000000000001"
"52320000","0.4046"
"52380000","0.4016"
"52440000","0.41120000000000007"
"52500000","0.4034"
"52560000","0.4198"
"52620000","0.4186"
"52680000","0.393"
"52740000","0.3922000000000001"
"52800000","0.40479999999999994"
"52860000","0.393"
"52920000","0.3958"
"52980000","0.386"
"53040000","0.3974"
"53100000","0.408"
"53160000","0.4346"
"53220000","0.39720000000000005"
"53280000","0.3986"
"53340000","0.412"
"53400000","0.4196"
"53460000","0.4074"
"53520000","0.403"
"53580000","0.39820000000000005"
"53640000","0.411"
"53700000","0.4044"
"53760000","0.4022"
"53820000","0.41579999999999995"
"53880000","0.415"
"53940000","0.4008"
"54000000","0.4166"
"54060000","0.4064"
"54120000","0.397"
"54180000","0.4006"
"54240000","0.4206"
"54300000","0.4296"
"54360000","0.3968"
"54420000","0.4236"
"54480000","0.4266"
"54540000","0.4362"
"54600000","0.4112"
"54660000","0.3994"
"54720000","0.425"
"54780000","0.40979999999999994"
"54840000","0.40820000000000006"
"54900000","0.4164000000000001"
"54960000","0.405"
"55020000","0.3946"
"55080000","0.414"
"55140000","0.40520000000000006"
"55200000","0.3886"
"55260000","0.3972"
"55320000","0.4016"
"55380000","0.3898"
"55440000","0.41479999999999995"
"55500000","0.4112"
"55560000","0.411"
"55620000","0.394"
"55680000","0.3888"
"55740000","0.4276"
"55800000","0.3968"
"55860000","0.421"
"55920000","0.4172"
"55980000","0.407"
"56040000","0.4038"
"56100000","0.40420000000000006"
"56160000","0.4076"
"56220000","0.4086"
"56280000","0.3915999999999999"
"56340000","0.4088"
"56400000","0.412"
"56460000","0.3912000000000001"
"56520000","0.3862"
"56580000","0.3806000000000001"
"56640000","0.3994"
"56700000","0.3964"
"56760000","0.4074"
"56820000","0.40220000000000006"
"56880000","0.4136"
"56940000","0.39579999999999993"
"57000000","0.424"
"57060000","0.4052"
"57120000","0.411"
"57180000","0.4206"
"57240000","0.411"
"57300000","0.40320000000000006"
"57360000","0.3926"
"57420000","0.4313999999999999"
"57480000","0.41120000000000007"
"57540000","0.3954"
"57600000","0.3904"
"57660000","0.3924"
"57720000","0.4226"
"57780000","0.4074"
"57840000","0.3733999999999999"
"57900000","0.4178"
"57960000","0.4416000000000001"
"58020000","0.4172"
"58080000","0.4146"
"58140000","0.4248"
"58200000","0.4126"
"58260000","0.4086"
"58320000","0.436"
"58380000","0.4294"
"58440000","0.3962"
"58500000","0.42"
"58560000","0.429"
"58620000","0.4214"
"58680000","0.3968"
"58740000","0.411"
"58800000","0.4478"
"58860000","0.414"
"58920000","0.4176"
"58980000","0.4386000000000001"
"59040000","0.438"
"59100000","0.40379999999999994"
"59160000","0.4353999999999999"
"59220000","0.4196"
"59280000","0.4316"
"59340000","0.4516"
"59400000","0.4242"
"59460000","0.4187999999999999"
"59520000","0.4304"
"59580000","0.4372"
"59640000","0.4424"
"59700000","0.4416000000000001"
"59760000","0.4386000000000001"
"59820000","0.4392"
"59880000","0.442"
"59940000","0.4418"
"60000000","0.4608"
"60060000","0.4358"
"60120000","0.435"
"60180000","0.4176"
"60240000","0.4222"
"60300000","0.4482"
"60360000","0.457"
"60420000","0.4282"
"60480000","0.4436000000000001"
"60540000","0.4313999999999999"
"60600000","0.4288"
"60660000","0.402"
"60720000","0.4343999999999999"
"60780000","0.438"
"60840000","0.42540000000000006"
"60900000","0.452"
"60960000","0.4548"
"61020000","0.4348"
"61080000","0.458"
"61140000","0.448"
"61200000","0.424"
"61260000","0.4488"
"61320000","0.4432"
"61380000","0.464"
"61440000","0.4478"
"61500000","0.4438"
