"Step","diversified_pb - cover_rate_5step","diversified_pb_seed2 - cover_rate_5step","diversified_pb_seed3 - cover_rate_5step"
"75420000","0.943","0.9612","0.9594"
"75600000","0.9528","0.9546","0.961"
"75780000","0.9422","0.952","0.951"
"75960000","0.9388","0.9428","0.9476"
"76140000","0.9496","0.9364","0.9564"
"76320000","0.9358","0.9318","0.959"
"76500000","0.941","0.9344","0.952"
"76680000","0.9474","0.943","0.9596"
"76860000","0.9476","0.9266","0.942"
"77040000","0.9582","0.9304","0.9548"
"77220000","0.949","0.9538","0.9604"
"77400000","0.9358","0.9524","0.96"
"77580000","0.9598","0.9534","0.9642"
"77760000","0.9532","0.9416","0.9552"
"77940000","0.9582","0.9368","0.9554"
"78120000","0.9452","0.9238","0.9482"
"78300000","0.9474","0.96","0.9536"
"78480000","0.9644","0.953","0.9526"
"78660000","0.9556","0.952","0.964"
"78840000","0.9424","0.9596","0.9552"
"79020000","0.9578","0.9544","0.9506"
"79200000","0.9592","0.9416","0.9432"
"79380000","0.9582","0.9534","0.9592"
"79560000","0.9466","0.9576","0.9664"
"79740000","0.9514","0.956","0.9594"
"79920000","0.9584","0.9426","0.962"
