"Step","ours-6floor-seed1 - test_lock_rate","ours-6floor-seed1 - test_lock_rate__MIN","ours-6floor-seed1 - test_lock_rate__MAX"
"48952800","0.983","0.983","0.983"
"49046400","0.99","0.99","0.99"
"49140000","1","1","1"
"49233600","0.98","0.98","0.98"
"49327200","0.98","0.98","0.98"
"49420800","0.98","0.98","0.98"
"49514400","1","1","1"
"49608000","0.98","0.98","0.98"
"49701600","0.99","0.99","0.99"
"49795200","0.99","0.99","0.99"
"49888800","0.96","0.96","0.96"
"49982400","0.98","0.98","0.98"
"50076000","0.97","0.97","0.97"
"50169600","0.99","0.99","0.99"
"50263200","0.99","0.99","0.99"
"50356800","0.985","0.985","0.985"
"50450400","0.96","0.96","0.96"
"50544000","0.95","0.95","0.95"
"50637600","0.97","0.97","0.97"
"50731200","1","1","1"
"50824800","0.995","0.995","0.995"
"50918400","0.98","0.98","0.98"
"51012000","0.99","0.99","0.99"
"51105600","1","1","1"
"51199200","0.97","0.97","0.97"
"51292800","1","1","1"
"51386400","0.99","0.99","0.99"
"51480000","1","1","1"
"51573600","1","1","1"
"51667200","1","1","1"
"51760800","0.98","0.98","0.98"
"51854400","1","1","1"
"51948000","0.985","0.985","0.985"
"52041600","0.97","0.97","0.97"
"52135200","0.97","0.97","0.97"
"52228800","0.98","0.98","0.98"
"52322400","0.99","0.99","0.99"
"52416000","0.975","0.975","0.975"
"52509600","0.99","0.99","0.99"
"52603200","0.99","0.99","0.99"
"52696800","0.97","0.97","0.97"
"52790400","0.99","0.99","0.99"
"52884000","1","1","1"
"52977600","0.995","0.995","0.995"
"53071200","0.985","0.985","0.985"
"53164800","0.98","0.98","0.98"
"53258400","0.995","0.995","0.995"
"53352000","0.985","0.985","0.985"
"53445600","0.985","0.985","0.985"
"53539200","0.985","0.985","0.985"
"53632800","0.985","0.985","0.985"
"53726400","1","1","1"
"53820000","0.985","0.985","0.985"
"53913600","0.98","0.98","0.98"
"54007200","1","1","1"
"54100800","1","1","1"
"54194400","1","1","1"
"54288000","0.99","0.99","0.99"
"54381600","0.99","0.99","0.99"
"54475200","0.99","0.99","0.99"
"54568800","1","1","1"
"54662400","0.99","0.99","0.99"
"54756000","1","1","1"
"54849600","1","1","1"
"54943200","1","1","1"
"55036800","0.995","0.995","0.995"
"55130400","1","1","1"
"55224000","0.98","0.98","0.98"
"55317600","1","1","1"
"55411200","1","1","1"
"55504800","0.99","0.99","0.99"
"55598400","1","1","1"
"55692000","0.995","0.995","0.995"
"55785600","0.98","0.98","0.98"
"55879200","0.985","0.985","0.985"
"55972800","1","1","1"
"56066400","1","1","1"
"56160000","0.99","0.99","0.99"
"56253600","1","1","1"
"56347200","1","1","1"
"56440800","1","1","1"
"56534400","1","1","1"
"56628000","0.99","0.99","0.99"
"56721600","1","1","1"
"56815200","1","1","1"
"56908800","1","1","1"
"57002400","1","1","1"
"57096000","0.995","0.995","0.995"
"57189600","1","1","1"
"57283200","1","1","1"
"57376800","1","1","1"
"57470400","1","1","1"
"57564000","1","1","1"
