Step,main_agent_pc_first_seed7 - main_success_rate
85212000,0.671
85266000,0.7405
85320000,0.6975
85374000,0.697
85428000,0.724
85482000,0.7785
85536000,0.7505
85590000,0.752
85644000,0.719
85698000,0.7155
85752000,0.7255
85806000,0.6805
85860000,0.6225
85914000,0.626
85968000,0.663
86022000,0.6805
86076000,0.6725
86130000,0.7155
86184000,0.6795
86238000,0.72
86292000,0.7185
86346000,0.718
86400000,0.7075
86454000,0.732
86508000,0.7165
86562000,0.761
86616000,0.782
86670000,0.768
86724000,0.7725
86778000,0.7655
86832000,0.7605
86886000,0.7605
86940000,0.7105
86994000,0.778
87048000,0.7385
87102000,0.709
87156000,0.764
87210000,0.753
87264000,0.7645
87318000,0.816
87372000,0.789
87426000,0.806
87480000,0.7715
87534000,0.797
87588000,0.787
87642000,0.7865
87696000,0.784
87750000,0.715
87804000,0.7405
87858000,0.745
87912000,0.7085
87966000,0.7755
88020000,0.6845
88074000,0.689
88128000,0.725
