"Step","diversified_sp - cover_rate_5step","diversified_sp_seed2 - cover_rate_5step","diversified_sp_seed3 - cover_rate_5step"
"33285000","0.9823","0.9038","0.9683"
"33390000","0.9845","0.9054","0.9553"
"33495000","0.9839","0.9135","0.9648"
"33600000","0.9827","0.9027","0.9564"
"33705000","0.9838","0.9006000000000001","0.9545"
"33810000","0.984","0.8894","0.9619"
"33915000","0.9832","0.9068","0.9656"
"34020000","0.9858","0.9139","0.9634"
"34125000","0.9869","0.9137","0.9644"
"34230000","0.9862","0.9106","0.9656"
"34335000","0.9887","0.9111","0.9597"
"34440000","0.9886","0.9106","0.9633999999999998"
"34545000","0.9867","0.9043","0.9578"
"34650000","0.9876","0.894","0.9555"
"34755000","0.9894","0.9018","0.959"
"34860000","0.9923","0.9061","0.9655"
"34965000","0.9898","0.901","0.9616"
"35070000","0.9815","0.9139","0.9593"
"35175000","0.9845","0.9102","0.974"
"35280000","0.9886","0.9061","0.9703"
"35385000","0.9876","0.9153","0.9721"
"35490000","0.9878","0.9069","0.9752"
"35595000","0.9898","0.9204","0.9687"
"35700000","0.9903","0.9052","0.9632"
"35805000","0.9888","0.9304","0.963"
"35910000","0.988","0.9287","0.9642"
"36015000","0.9861","0.9323","0.961"
"36120000","0.9869","0.9134","0.9699"
"36225000","0.9891","0.9227","0.9607"
"36330000","0.9857","0.9113","0.9686"
"36435000","0.9899","0.9114","0.9716"
"36540000","0.9895","0.9117","0.9741"
"36645000","0.9901","0.9319","0.9644"
"36750000","0.9895","0.9182","0.9671"
"36855000","0.9821","0.9214","0.9728"
"36960000","0.9865","0.9233","0.9728"
"37065000","0.9838","0.9197","0.9683"
"37170000","0.9842","0.9304","0.9712"
"37275000","0.9866","0.9341","0.9807"
"37380000","0.9931","0.9247","0.9808"
"37485000","0.9917","0.9155","0.9759"
"37590000","0.9834","0.9203","0.9736"
"37695000","0.9906","0.9147","0.9732"
"37800000","0.9908","0.9214","0.9686"
"37905000","0.9855","0.9109","0.9784"
"38010000","0.9915","0.9311","0.9723"
"38115000","0.99","0.9273","0.9771"
"38220000","0.9858","0.9105","0.9762"
"38325000","0.9891","0.9244","0.9749"
"38430000","0.9878","0.9249","0.979"
"38535000","0.9813999999999998","0.9228","0.9837"
"38640000","0.9914","0.9083","0.9742"
"38745000","0.9845","0.9212","0.9733"
"38850000","0.9875","0.9176","0.9819"
"38955000","0.9839","0.9319","0.9835"
"39060000","0.9885","0.9261","0.9827"
"39165000","0.9821","0.9218","0.9841"
"39270000","0.9867","0.907","0.9795"
"39375000","0.9835","0.8997999999999999","0.9751"
"39480000","0.9856","0.9105","0.9764"
"39585000","0.9848","0.9191","0.9753"
"39690000","0.9888","0.9288","0.9802"
"39795000","0.9857","0.9258","0.9782"
"39900000","0.9863","0.9182","0.9795"
