"Step","sl_amigo_seed1 - cover_rate_5step"
"8106000","0.4"
"8113000","0.384"
"8120000","0.35"
"8127000","0.35"
"8134000","0.396"
"8141000","0.41"
"8148000","0.38"
"8155000","0.394"
"8162000","0.436"
"8169000","0.436"
"8176000","0.42"
"8183000","0.384"
"8190000","0.3559999999999999"
"8197000","0.388"
"8204000","0.33"
"8211000","0.392"
"8218000","0.394"
"8225000","0.368"
"8232000","0.366"
"8239000","0.416"
"8246000","0.402"
"8253000","0.36"
"8260000","0.3940000000000001"
"8267000","0.418"
"8274000","0.35600000000000004"
"8281000","0.414"
"8288000","0.43400000000000005"
"8295000","0.41"
"8302000","0.35600000000000004"
"8309000","0.38"
"8316000","0.43400000000000005"
"8323000","0.34"
"8330000","0.442"
"8337000","0.34"
"8344000","0.37"
"8351000","0.33599999999999997"
"8358000","0.368"
"8365000","0.4040000000000001"
"8372000","0.414"
"8379000","0.33799999999999997"
"8386000","0.436"
"8393000","0.376"
"8400000","0.344"
"8407000","0.364"
"8414000","0.462"
"8421000","0.45"
"8428000","0.476"
"8435000","0.392"
"8442000","0.474"
"8449000","0.426"
"8456000","0.32599999999999996"
"8463000","0.366"
"8470000","0.398"
"8477000","0.41"
"8484000","0.324"
"8491000","0.414"
"8498000","0.39"
"8505000","0.43199999999999994"
"8512000","0.508"
"8519000","0.472"
"8526000","0.39"
"8533000","0.428"
"8540000","0.30200000000000005"
"8547000","0.34600000000000003"
"8554000","0.42"
"8561000","0.47"
"8568000","0.314"
"8575000","0.4"
"8582000","0.33399999999999996"
"8589000","0.44"
"8596000","0.37200000000000005"
"8603000","0.4320000000000001"
"8610000","0.408"
"8617000","0.512"
"8624000","0.38"
"8631000","0.38"
"8638000","0.35600000000000004"
"8645000","0.362"
"8652000","0.32799999999999996"
"8659000","0.35"
"8666000","0.38"
"8673000","0.374"
"8680000","0.5"
"8687000","0.384"
"8694000","0.47"
"8701000","0.364"
"8708000","0.414"
"8715000","0.322"
"8722000","0.382"
"8729000","0.43"
"8736000","0.464"
"8743000","0.39"
"8750000","0.35"
"8757000","0.43799999999999994"
"8764000","0.41"
"8771000","0.42"
"8778000","0.442"
"8785000","0.396"
"8792000","0.318"
"8799000","0.36"
"8806000","0.37199999999999994"
"8813000","0.42"
"8820000","0.37200000000000005"
"8827000","0.336"
"8834000","0.306"
"8841000","0.374"
"8848000","0.384"
"8855000","0.406"
"8862000","0.464"
"8869000","0.402"
"8876000","0.446"
"8883000","0.396"
"8890000","0.458"
"8897000","0.398"
"8904000","0.36"
"8911000","0.398"
"8918000","0.39"
"8925000","0.34"
"8932000","0.392"
"8939000","0.43599999999999994"
"8946000","0.386"
"8953000","0.4459999999999999"
"8960000","0.3640000000000001"
"8967000","0.486"
"8974000","0.37799999999999995"
"8981000","0.4320000000000001"
"8988000","0.486"
"8995000","0.376"
"9002000","0.37"
"9009000","0.41"
"9016000","0.468"
"9023000","0.3"
"9030000","0.4479999999999999"
"9037000","0.412"
"9044000","0.312"
"9051000","0.386"
"9058000","0.382"
"9065000","0.35"
"9072000","0.316"
"9079000","0.4"
"9086000","0.39"
"9093000","0.326"
"9100000","0.44400000000000006"
"9107000","0.326"
"9114000","0.48"
"9121000","0.44"
"9128000","0.31799999999999995"
"9135000","0.336"
"9142000","0.452"
"9149000","0.404"
"9156000","0.414"
"9163000","0.404"
"9170000","0.4160000000000001"
"9177000","0.36"
