"Step","reverse-6floor-seed2 - test_success_rate","reverse-6floor-seed2 - test_success_rate__MIN","reverse-6floor-seed2 - test_success_rate__MAX"
"15880800","0.023","0.023","0.023"
"15912000","0.026","0.026","0.026"
"15943200","0.028","0.028","0.028"
"15974400","0.033","0.033","0.033"
"16005600","0.011","0.011","0.011"
"16036800","0.021","0.021","0.021"
"16068000","0.02","0.02","0.02"
"16099200","0.022","0.022","0.022"
"16130400","0.014","0.014","0.014"
"16161600","0.026","0.026","0.026"
"16192800","0.018","0.018","0.018"
"16224000","0.017","0.017","0.017"
"16255200","0.032","0.032","0.032"
"16286400","0.024","0.024","0.024"
"16317600","0.03","0.03","0.03"
"16348800","0.025","0.025","0.025"
"16380000","0.017","0.017","0.017"
"16411200","0.028","0.028","0.028"
"16442400","0.036","0.036","0.036"
"16473600","0.023","0.023","0.023"
"16504800","0.016","0.016","0.016"
"16536000","0.025","0.025","0.025"
"16567200","0.008","0.008","0.008"
"16598400","0.019","0.019","0.019"
"16629600","0.019","0.019","0.019"
"16660800","0.033","0.033","0.033"
"16692000","0.019","0.019","0.019"
"16723200","0.034","0.034","0.034"
"16754400","0.017","0.017","0.017"
"16785600","0.008","0.008","0.008"
"16816800","0.017","0.017","0.017"
"16848000","0.023","0.023","0.023"
"16879200","0.02","0.02","0.02"
"16910400","0.022","0.022","0.022"
"16941600","0.03","0.03","0.03"
"16972800","0.037","0.037","0.037"
"17004000","0.014","0.014","0.014"
"17035200","0.033","0.033","0.033"
"17066400","0.034","0.034","0.034"
"17097600","0.027","0.027","0.027"
"17128800","0.02","0.02","0.02"
"17160000","0.023","0.023","0.023"
"17191200","0.021","0.021","0.021"
"17222400","0.025","0.025","0.025"
"17253600","0.025","0.025","0.025"
"17284800","0.018","0.018","0.018"
"17316000","0.034","0.034","0.034"
"17347200","0.029","0.029","0.029"
"17378400","0.02","0.02","0.02"
"17409600","0.015","0.015","0.015"
"17440800","0.031","0.031","0.031"
"17472000","0.027","0.027","0.027"
"17503200","0.015","0.015","0.015"
"17534400","0.018","0.018","0.018"
"17565600","0.018","0.018","0.018"
"17596800","0.015","0.015","0.015"
"17628000","0.024","0.024","0.024"
"17659200","0.029","0.029","0.029"
"17690400","0.025","0.025","0.025"
