"Step","amigo_pb_2agents_seed3 - 2cover_rate_1step"
"65220000","0.491"
"65280000","0.491"
"65340000","0.494"
"65400000","0.487"
"65460000","0.489"
"65520000","0.497"
"65580000","0.503"
"65640000","0.505"
"65700000","0.49"
"65760000","0.511"
"65820000","0.497"
"65880000","0.49"
"65940000","0.489"
"66000000","0.492"
"66060000","0.494"
"66120000","0.485"
"66180000","0.497"
"66240000","0.499"
"66300000","0.503"
"66360000","0.507"
"66420000","0.482"
"66480000","0.495"
"66540000","0.516"
"66600000","0.502"
"66660000","0.496"
"66720000","0.501"
"66780000","0.511"
"66840000","0.503"
"66900000","0.493"
"66960000","0.502"
"67020000","0.49"
"67080000","0.489"
"67140000","0.501"
"67200000","0.483"
"67260000","0.492"
"67320000","0.509"
"67380000","0.504"
"67440000","0.517"
"67500000","0.494"
"67560000","0.515"
"67620000","0.521"
"67680000","0.505"
"67740000","0.512"
"67800000","0.496"
"67860000","0.514"
"67920000","0.508"
"67980000","0.499"
"68040000","0.501"
"68100000","0.501"
"68160000","0.495"
"68220000","0.509"
"68280000","0.484"
"68340000","0.496"
"68400000","0.507"
"68460000","0.491"
"68520000","0.487"
"68580000","0.511"
"68640000","0.512"
"68700000","0.495"
"68760000","0.498"
"68820000","0.508"
"68880000","0.496"
"68940000","0.497"
"69000000","0.5"
"69060000","0.505"
"69120000","0.496"
"69180000","0.518"
"69240000","0.515"
"69300000","0.51"
"69360000","0.499"
"69420000","0.504"
"69480000","0.509"
"69540000","0.503"
"69600000","0.501"
"69660000","0.507"
"69720000","0.497"
"69780000","0.496"
"69840000","0.522"
"69900000","0.486"
"69960000","0.521"
"70020000","0.498"
"70080000","0.508"
"70140000","0.504"
"70200000","0.505"
"70260000","0.499"
"70320000","0.524"
"70380000","0.509"
"70440000","0.501"
"70500000","0.499"
"70560000","0.498"
"70620000","0.505"
"70680000","0.501"
"70740000","0.513"
"70800000","0.485"
"70860000","0.507"
"70920000","0.498"
"70980000","0.516"
"71040000","0.502"
"71100000","0.513"
"71160000","0.51"
"71220000","0.502"
"71280000","0.506"
"71340000","0.502"
"71400000","0.506"
"71460000","0.499"
"71520000","0.495"
"71580000","0.506"
"71640000","0.536"
"71700000","0.494"
"71760000","0.514"
"71820000","0.518"
"71880000","0.521"
"71940000","0.504"
"72000000","0.507"
"72060000","0.488"
"72120000","0.532"
"72180000","0.524"
"72240000","0.51"
"72300000","0.512"
"72360000","0.534"
"72420000","0.518"
"72480000","0.513"
"72540000","0.516"
"72600000","0.51"
"72660000","0.515"
"72720000","0.517"
"72780000","0.507"
"72840000","0.517"
"72900000","0.498"
"72960000","0.52"
"73020000","0.52"
"73080000","0.527"
"73140000","0.52"
"73200000","0.516"
"73260000","0.52"
"73320000","0.516"
"73380000","0.522"
"73440000","0.535"
"73500000","0.514"
"73560000","0.519"
"73620000","0.516"
"73680000","0.518"
"73740000","0.511"
"73800000","0.529"
"73860000","0.521"
"73920000","0.531"
"73980000","0.504"
"74040000","0.536"
"74100000","0.537"
"74160000","0.507"
"74220000","0.538"
"74280000","0.533"
"74340000","0.52"
"74400000","0.524"
"74460000","0.525"
"74520000","0.512"
"74580000","0.504"
"74640000","0.514"
"74700000","0.531"
"74760000","0.521"
"74820000","0.519"
"74880000","0.519"
"74940000","0.531"
"75000000","0.523"
"75060000","0.498"
"75120000","0.524"
"75180000","0.529"
"75240000","0.523"
"75300000","0.521"
"75360000","0.531"
"75420000","0.522"
"75480000","0.52"
"75540000","0.533"
"75600000","0.523"
"75660000","0.53"
"75720000","0.544"
"75780000","0.535"
"75840000","0.527"
"75900000","0.526"
"75960000","0.512"
"76020000","0.547"
"76080000","0.513"
"76140000","0.506"
"76200000","0.528"
"76260000","0.545"
"76320000","0.519"
"76380000","0.521"
"76440000","0.53"
"76500000","0.53"
"76560000","0.53"
"76620000","0.532"
"76680000","0.524"
"76740000","0.517"
"76800000","0.541"
"76860000","0.519"
"76920000","0.535"
"76980000","0.516"
"77040000","0.529"
"77100000","0.531"
"77160000","0.539"
"77220000","0.535"
"77280000","0.522"
"77340000","0.517"
"77400000","0.527"
"77460000","0.525"
"77520000","0.535"
"77580000","0.542"
"77640000","0.511"
"77700000","0.54"
"77760000","0.535"
"77820000","0.544"
"77880000","0.546"
"77940000","0.54"
"78000000","0.551"
"78060000","0.542"
"78120000","0.523"
"78180000","0.542"
"78240000","0.54"
"78300000","0.535"
"78360000","0.521"
"78420000","0.535"
"78480000","0.551"
"78540000","0.548"
"78600000","0.531"
"78660000","0.53"
"78720000","0.528"
"78780000","0.547"
"78840000","0.529"
"78900000","0.522"
"78960000","0.538"
"79020000","0.539"
"79080000","0.546"
"79140000","0.539"
"79200000","0.554"
"79260000","0.536"
"79320000","0.536"
"79380000","0.517"
"79440000","0.539"
"79500000","0.526"
"79560000","0.552"
"79620000","0.537"
"79680000","0.548"
"79740000","0.54"
"79800000","0.535"
"79860000","0.548"
"79920000","0.541"
"79980000","0.529"
