"Step","diversified_novelty_sp - cover_rate_5step","diversified_novelty_sp_seed2 - cover_rate_5step","diversified_novelty_sp_seed3 - cover_rate_5step"
"27930000","0.9807","0.8915","0.9207"
"28035000","0.9787","0.8755","0.9238"
"28140000","0.9836","0.8894","0.918"
"28245000","0.9863","0.8769000000000001","0.9082"
"28350000","0.98","0.8807999999999999","0.9337"
"28455000","0.9662","0.8850999999999999","0.9271"
"28560000","0.9623","0.8927999999999999","0.9211"
"28665000","0.9688","0.8886","0.921"
"28770000","0.9652","0.8822000000000001","0.9201"
"28875000","0.9722","0.8859","0.9215"
"28980000","0.9772","0.8726","0.9227"
"29085000","0.9743","0.8797","0.9309"
"29190000","0.9807","0.9107","0.9399"
"29295000","0.9715","0.8997","0.9204"
"29400000","0.9766","0.898","0.9153"
"29505000","0.985","0.8962","0.92"
"29610000","0.9797","0.8863","0.9238"
"29715000","0.9798","0.8867999999999999","0.9099"
"29820000","0.9758","0.9042","0.9196"
"29925000","0.977","0.9045","0.9261"
"30030000","0.9806","0.8929","0.9262"
"30135000","0.9773999999999998","0.912","0.9251"
"30240000","0.9767","0.8997","0.929"
"30345000","0.9862","0.9021","0.9363"
"30450000","0.981","0.8964000000000001","0.9173"
"30555000","0.9833","0.91","0.8985"
"30660000","0.9824","0.9173","0.9133"
"30765000","0.9826","0.9141","0.9077"
"30870000","0.9818","0.9104","0.9047"
"30975000","0.982","0.9285","0.8904000000000001"
"31080000","0.9856","0.9329","0.8984"
"31185000","0.9831","0.9321","0.9201"
"31290000","0.982","0.9392","0.9129"
"31395000","0.9835","0.9378","0.9176"
"31500000","0.985","0.9416","0.9034"
"31605000","0.9885","0.9336","0.9182"
"31710000","0.9901","0.9227","0.8963999999999999"
"31815000","0.9865","0.9242","0.9153"
"31920000","0.9864","0.9193","0.9169"
"32025000","0.9855","0.9105","0.9283"
"32130000","0.9841","0.913","0.9198"
"32235000","0.9839","0.9129","0.9318"
"32340000","0.9876","0.9291","0.937"
"32445000","0.9869","0.9207","0.9308"
"32550000","0.9893","0.9157","0.9377"
"32655000","0.9843","0.9319","0.9388"
"32760000","0.9875","0.9246","0.9433"
"32865000","0.984","0.9216","0.9393"
"32970000","0.9828","0.9058","0.9307"
"33075000","0.9902","0.9242","0.9369"
"33180000","0.9888","0.9122","0.9198"
"33285000","0.9866","0.9091","0.9264"
"33390000","0.9897","0.9229","0.9162"
"33495000","0.9852","0.9235","0.9217"
"33600000","0.9787","0.9085","0.9425"
"33705000","0.9829","0.919","0.9288"
"33810000","0.9894","0.9183","0.9324"
"33915000","0.9832","0.915","0.9422"
"34020000","0.9855","0.9221","0.9437"
"34125000","0.9861","0.9098999999999998","0.9422"
"34230000","0.9861","0.9188","0.9344"
"34335000","0.9832","0.9097","0.9305"
"34440000","0.9823999999999998","0.905","0.9471"
"34545000","0.9873","0.924","0.9308"
"34650000","0.9858","0.9115","0.9317"
"34755000","0.9859","0.9164","0.9482"
"34860000","0.9841","0.9062","0.9467"
"34965000","0.9864","0.9232","0.943"
"35070000","0.9933","0.9151","0.9431"
"35175000","0.9896","0.9198","0.9436"
"35280000","0.9912","0.9229","0.9375"
"35385000","0.9876","0.9302","0.9487"
"35490000","0.9906","0.944","0.9449"
"35595000","0.9898","0.922","0.941"
"35700000","0.9904","0.9208","0.9473"
"35805000","0.9915","0.9378","0.923"
"35910000","0.993","0.9115","0.9434"
"36015000","0.9928","0.9188","0.9341"
"36120000","0.9901","0.9206","0.9378"
"36225000","0.9921","0.9389","0.9235"
"36330000","0.9891","0.9214","0.9372"
"36435000","0.9872","0.9168","0.936"
"36540000","0.9902","0.9136","0.9453"
"36645000","0.9894","0.9285","0.9346"
"36750000","0.9894","0.9213","0.9447"
"36855000","0.987","0.9261","0.9467"
"36960000","0.9887","0.9107","0.9406"
"37065000","0.9913999999999998","0.929","0.9567"
"37170000","0.991","0.9285","0.9473"
"37275000","0.9905","0.9375","0.9634"
"37380000","0.9907","0.9416","0.9586"
"37485000","0.9918","0.9342","0.9476"
"37590000","0.9901","0.9461","0.9416"
"37695000","0.9873","0.9355","0.9397"
"37800000","0.991","0.9269","0.948"
"37905000","0.9905","0.9447","0.9497"
"38010000","0.9929","0.9539","0.9372"
"38115000","0.9903","0.949","0.9431"
"38220000","0.9937","0.9517","0.9419"
"38325000","0.9918","0.9416","0.9477"
"38430000","0.9894","0.9549","0.9489"
"38535000","0.9891","0.9438","0.9357"
"38640000","0.9922","0.9458","0.9467"
"38745000","0.9898","0.9585","0.9525"
"38850000","0.991","0.9654","0.947"
"38955000","0.9923","0.967","0.9496"
"39060000","0.9888","0.963","0.9552"
"39165000","0.9924","0.9609","0.9473"
"39270000","0.9917","0.955","0.949"
"39375000","0.9907","0.9582","0.951"
"39480000","0.994","0.9656","0.9606"
"39585000","0.9903","0.9587","0.9498"
"39690000","0.9923999999999998","0.9687","0.9461"
"39795000","0.9874","0.957","0.9437"
"39900000","0.9888","0.9582","0.9523"
