"Step","pc_pb_seed2 - 4cover_rate"
"70500000","0.25989999999999996"
"70560000","0.2684"
"70620000","0.26789999999999997"
"70680000","0.2645"
"70740000","0.261"
"70800000","0.2493"
"70860000","0.2476"
"70920000","0.25939999999999996"
"70980000","0.264"
"71040000","0.2539"
"71100000","0.2585"
"71160000","0.2601"
"71220000","0.2583"
"71280000","0.2591"
"71340000","0.2656"
"71400000","0.2635"
"71460000","0.2596"
"71520000","0.2624"
"71580000","0.25880000000000003"
"71640000","0.268"
"71700000","0.26789999999999997"
"71760000","0.2725"
"71820000","0.2698"
"71880000","0.2776"
"71940000","0.26630000000000004"
"72000000","0.2677999999999999"
"72060000","0.27429999999999993"
"72120000","0.265"
"72180000","0.2675"
"72240000","0.25680000000000003"
"72300000","0.274"
"72360000","0.2636"
"72420000","0.264"
"72480000","0.25870000000000004"
"72540000","0.2686"
"72600000","0.2736"
"72660000","0.2686"
"72720000","0.2696"
"72780000","0.2843"
"72840000","0.2712"
"72900000","0.25820000000000004"
"72960000","0.2734"
"73020000","0.26009999999999994"
"73080000","0.2597"
"73140000","0.263"
"73200000","0.26689999999999997"
"73260000","0.2654"
"73320000","0.26230000000000003"
"73380000","0.25489999999999996"
"73440000","0.2591"
"73500000","0.2533"
"73560000","0.2478"
"73620000","0.26109999999999994"
"73680000","0.25110000000000005"
"73740000","0.2448"
"73800000","0.2482"
"73860000","0.2474"
"73920000","0.2487"
"73980000","0.259"
"74040000","0.2636"
"74100000","0.2538"
"74160000","0.25689999999999996"
"74220000","0.252"
"74280000","0.2549"
"74340000","0.2596"
"74400000","0.248"
"74460000","0.2493"
"74520000","0.2663"
"74580000","0.249"
"74640000","0.26339999999999997"
"74700000","0.25780000000000003"
"74760000","0.2643"
"74820000","0.2671"
"74880000","0.25889999999999996"
"74940000","0.2666"
"75000000","0.2637"
"75060000","0.25780000000000003"
