"Step","amigo_pb_teacherhorizon10_seed1 - 4cover_rate_5step"
"47400000","0.2592"
"47460000","0.2681"
"47520000","0.2655"
"47580000","0.2714"
"47640000","0.2596"
"47700000","0.26130000000000003"
"47760000","0.26639999999999997"
"47820000","0.2795"
"47880000","0.2665"
"47940000","0.2753"
"48000000","0.26259999999999994"
"48060000","0.2627"
"48120000","0.2697"
"48180000","0.2706"
"48240000","0.26489999999999997"
"48300000","0.25680000000000003"
"48360000","0.26439999999999997"
"48420000","0.2744"
"48480000","0.2754"
"48540000","0.2701"
"48600000","0.26970000000000005"
"48660000","0.27720000000000006"
"48720000","0.2706"
"48780000","0.2735"
"48840000","0.26430000000000003"
"48900000","0.2811"
"48960000","0.2795"
"49020000","0.277"
"49080000","0.2875"
"49140000","0.2682999999999999"
"49200000","0.29119999999999996"
"49260000","0.2837"
"49320000","0.26880000000000004"
"49380000","0.2714"
"49440000","0.27529999999999993"
"49500000","0.2765"
"49560000","0.27559999999999996"
"49620000","0.28140000000000004"
"49680000","0.2829"
"49740000","0.2863"
"49800000","0.2799"
"49860000","0.2784"
"49920000","0.2735"
"49980000","0.2934"
"50040000","0.2767"
"50100000","0.277"
"50160000","0.2902"
"50220000","0.28590000000000004"
"50280000","0.281"
"50340000","0.2848"
"50400000","0.28570000000000007"
"50460000","0.27240000000000003"
"50520000","0.29710000000000003"
"50580000","0.28259999999999996"
"50640000","0.2724"
"50700000","0.281"
"50760000","0.2936"
"50820000","0.2761"
"50880000","0.2805"
"50940000","0.276"
"51000000","0.282"
"51060000","0.2803"
"51120000","0.2696"
"51180000","0.2741"
"51240000","0.29079999999999995"
"51300000","0.2709"
"51360000","0.2781"
"51420000","0.28370000000000006"
"51480000","0.29560000000000003"
"51540000","0.2887"
"51600000","0.29009999999999997"
"51660000","0.2833"
"51720000","0.30160000000000003"
"51780000","0.2815"
"51840000","0.2861"
"51900000","0.2974"
"51960000","0.29069999999999996"
"52020000","0.2957"
"52080000","0.2881"
"52140000","0.2984"
"52200000","0.29020000000000007"
"52260000","0.2905"
"52320000","0.28109999999999996"
"52380000","0.286"
"52440000","0.2796"
"52500000","0.28140000000000004"
"52560000","0.29070000000000007"
"52620000","0.2835"
"52680000","0.2921"
"52740000","0.2825"
"52800000","0.29279999999999995"
"52860000","0.2738"
"52920000","0.2834"
"52980000","0.2792"
"53040000","0.29569999999999996"
"53100000","0.283"
"53160000","0.2938"
"53220000","0.2956999999999999"
"53280000","0.2935"
"53340000","0.29560000000000003"
"53400000","0.2938"
"53460000","0.2873"
"53520000","0.29810000000000003"
"53580000","0.2699"
"53640000","0.2871"
"53700000","0.2956"
"53760000","0.2849"
"53820000","0.288"
"53880000","0.2894"
"53940000","0.2933"
"54000000","0.2936"
"54060000","0.2911"
"54120000","0.293"
"54180000","0.2969"
"54240000","0.2914"
"54300000","0.2953"
"54360000","0.2829"
"54420000","0.28270000000000006"
"54480000","0.2866"
"54540000","0.2861"
"54600000","0.30589999999999995"
"54660000","0.2924"
"54720000","0.29629999999999995"
"54780000","0.2902"
"54840000","0.2846"
"54900000","0.2799"
"54960000","0.3009"
"55020000","0.283"
"55080000","0.3081"
"55140000","0.3"
"55200000","0.2822"
"55260000","0.28740000000000004"
"55320000","0.286"
"55380000","0.29029999999999995"
"55440000","0.2816"
"55500000","0.3014"
"55560000","0.30060000000000003"
"55620000","0.2926"
"55680000","0.2811"
"55740000","0.2763"
"55800000","0.291"
"55860000","0.305"
"55920000","0.2964"
"55980000","0.3128"
"56040000","0.2993"
"56100000","0.2881"
"56160000","0.291"
"56220000","0.2834"
"56280000","0.2916"
"56340000","0.2926"
"56400000","0.3103"
"56460000","0.297"
"56520000","0.2759"
"56580000","0.3127"
"56640000","0.2993"
"56700000","0.29179999999999995"
"56760000","0.2933"
"56820000","0.2908"
"56880000","0.30010000000000003"
"56940000","0.275"
"57000000","0.301"
"57060000","0.2825"
"57120000","0.29429999999999995"
"57180000","0.3044"
"57240000","0.28870000000000007"
"57300000","0.296"
"57360000","0.3005"
"57420000","0.2975"
"57480000","0.31010000000000004"
"57540000","0.30169999999999997"
"57600000","0.3068"
"57660000","0.3007"
"57720000","0.29960000000000003"
"57780000","0.2992"
"57840000","0.30839999999999995"
"57900000","0.30329999999999996"
"57960000","0.3166"
"58020000","0.32039999999999996"
