"Step","reverse_pb_eval1_novelty_seed1 - cover_rate_5step","reverse_pb_eval1_novelty_seed2 - cover_rate_5step","reverse_pb_eval1_novelty_seed3 - cover_rate_5step"
"33960000","0.1568","0.2198","0.4948"
"34020000","0.1638","0.22960000000000003","0.5052"
"34080000","0.1524","0.2442","0.5042"
"34140000","0.16340000000000002","0.2314","0.4946"
"34200000","0.1586","0.2422","0.4972"
"34260000","0.16839999999999997","0.2328","0.4936"
"34320000","0.145","0.2306","0.4976"
"34380000","0.15159999999999998","0.26520000000000005","0.5076"
"34440000","0.1608","0.22860000000000005","0.503"
"34500000","0.15120000000000003","0.2374","0.5054000000000001"
"34560000","0.15619999999999998","0.228","0.5072"
"34620000","0.1674","0.2426","0.4943999999999999"
"34680000","0.1778","0.2448","0.495"
"34740000","0.1678","0.2438","0.4962"
"34800000","0.1594","0.2202","0.495"
"34860000","0.16140000000000002","0.2328","0.4754"
"34920000","0.17520000000000002","0.2558","0.4824"
"34980000","0.15680000000000002","0.2444","0.4958"
"35040000","0.2036","0.2368","0.4898"
"35100000","0.175","0.2486","0.4956"
"35160000","0.171","0.2526","0.4908"
"35220000","0.1672","0.26139999999999997","0.4808"
"35280000","0.1658","0.2454","0.4824"
"35340000","0.1734","0.2572","0.4946"
"35400000","0.1704","0.2254","0.4764"
"35460000","0.1788","0.2286","0.473"
"35520000","0.1554","0.2436","0.4854"
"35580000","0.15719999999999998","0.2312","0.4752"
"35640000","0.16939999999999997","0.2744","0.483"
"35700000","0.1858","0.2426","0.4626"
"35760000","0.166","0.2476","0.4902"
"35820000","0.1738","0.2312","0.4674"
"35880000","0.1836","0.2216","0.473"
"35940000","0.1756","0.2552","0.46879999999999994"
"36000000","0.1818","0.2476","0.4492"
"36060000","0.1618","0.25980000000000003","0.47420000000000007"
"36120000","0.181","0.26639999999999997","0.4644"
"36180000","0.1846","0.228","0.4638"
"36240000","0.1814","0.25839999999999996","0.47620000000000007"
"36300000","0.1836","0.2512","0.4492"
"36360000","0.19839999999999997","0.2426","0.4636"
"36420000","0.1862","0.256","0.4698"
"36480000","0.1858","0.273","0.4648"
"36540000","0.19760000000000005","0.2606","0.4748"
"36600000","0.1502","0.26439999999999997","0.472"
"36660000","0.1754","0.2476","0.4828"
"36720000","0.1828","0.254","0.476"
"36780000","0.1816","0.2496","0.4782"
"36840000","0.179","0.241","0.4862"
"36900000","0.19760000000000005","0.2406","0.4784"
"36960000","0.1882","0.2468","0.4768"
"37020000","0.1912","0.26339999999999997","0.477"
"37080000","0.166","0.2646","0.4878"
"37140000","0.1844","0.26480000000000004","0.4824"
"37200000","0.1938","0.2676","0.4684"
"37260000","0.1796","0.2518","0.4788"
"37320000","0.1938","0.264","0.4872"
"37380000","0.2078","0.2592","0.47"
"37440000","0.1972","0.25739999999999996","0.483"
"37500000","0.1996","0.278","0.4824"
"37560000","0.1692","0.259","0.4924"
"37620000","0.1892","0.26439999999999997","0.4736"
"37680000","0.1668","0.27879999999999994","0.4842"
"37740000","0.2018","0.26239999999999997","0.4788"
"37800000","0.1922","0.2466","0.4896"
"37860000","0.219","0.2624","0.4824"
"37920000","0.1874","0.2662","0.4824"
"37980000","0.1868","0.273","0.4772"
"38040000","0.1838","0.253","0.4896"
"38100000","0.1938","0.262","0.4818"
"38160000","0.1972","0.2636","0.4762"
"38220000","0.2006","0.2592","0.4906"
"38280000","0.1782","0.2528","0.4864"
"38340000","0.204","0.2654","0.4846"
"38400000","0.1966","0.25939999999999996","0.48"
"38460000","0.2012","0.2338","0.4864"
"38520000","0.205","0.2492","0.4808"
