"Step","diversified_novelty_pb - cover_rate_5step","diversified_novelty_pb_seed2 - cover_rate_5step","diversified_novelty_pb_seed3 - cover_rate_5step"
"70380000","0.9624","0.9654","0.9712"
"70560000","0.9598","0.9744","0.9908"
"70740000","0.9646","0.9656","0.9886"
"70920000","0.9572","0.9704","0.984"
"71100000","0.9516","0.9576","0.991"
"71280000","0.9688","0.9636","0.9812"
"71460000","0.9674","0.9746","0.9786"
"71640000","0.9614","0.9664","0.9854"
"71820000","0.9722","0.9568","0.9784"
"72000000","0.962","0.9564","0.9774"
"72180000","0.9702","0.9668","0.9742"
"72360000","0.9694","0.9598","0.9748"
"72540000","0.9628","0.972","0.9782"
"72720000","0.9544","0.963","0.987"
"72900000","0.9566","0.9684","0.9836"
"73080000","0.9608","0.96","0.9796"
"73260000","0.9636","0.9624","0.985"
"73440000","0.9562","0.9658","0.975"
"73620000","0.9702","0.952","0.9822"
"73800000","0.967","0.9604","0.9738"
"73980000","0.968","0.9554","0.9792"
"74160000","0.9476","0.9648","0.9848"
"74340000","0.9568","0.9724","0.9822"
"74520000","0.9622","0.959","0.981"
"74700000","0.9684","0.9538","0.9708"
"74880000","0.9692","0.9702","0.9726"
"75060000","0.966","0.9708","0.9766"
"75240000","0.9794","0.9766","0.9758"
"75420000","0.9732","0.9654","0.9708"
"75600000","0.9636","0.973","0.9788"
"75780000","0.9618","0.9604","0.9762"
"75960000","0.961","0.9648","0.9806"
"76140000","0.9692","0.957","0.9778"
"76320000","0.9638","0.9578","0.9774"
"76500000","0.9648","0.9786","0.979"
"76680000","0.9678","0.9652","0.9776"
"76860000","0.9702","0.9528","0.9808"
"77040000","0.9664","0.9562","0.9848"
"77220000","0.9476","0.9644","0.9874"
"77400000","0.9616","0.9694","0.9824"
"77580000","0.9674","0.9678","0.9834"
"77760000","0.9648","0.9636","0.9912"
"77940000","0.972","0.9492","0.9792"
"78120000","0.9742","0.9758","0.9816"
"78300000","0.9848","0.9694","0.9856"
"78480000","0.9664","0.9766","0.9748"
"78660000","0.966","0.9658","0.987"
"78840000","0.9706","0.9564","0.9746"
"79020000","0.9624","0.9674","0.9804"
"79200000","0.9696","0.968","0.984"
"79380000","0.9624","0.97","0.9874"
"79560000","0.9826","0.9554","0.9864"
"79740000","0.9634","0.9652","0.9838"
"79920000","0.973","0.9688","0.9786"
