"Step","reverse_eval1_sp_seed1 - cover_rate_5step"
"29995000","0.4801"
"30030000","0.4848"
"30065000","0.4864"
"30100000","0.5074"
"30135000","0.4756"
"30170000","0.5041"
"30205000","0.4933"
"30240000","0.5144"
"30275000","0.5109"
"30310000","0.5146000000000002"
"30345000","0.5148"
"30380000","0.5125"
"30415000","0.525"
"30450000","0.5285"
"30485000","0.5332"
"30520000","0.5281999999999999"
"30555000","0.5062"
"30590000","0.5011"
"30625000","0.5114"
"30660000","0.5372"
"30695000","0.5086"
"30730000","0.5104"
"30765000","0.5393"
"30800000","0.499"
"30835000","0.5047999999999999"
"30870000","0.519"
"30905000","0.5123"
"30940000","0.4925"
"30975000","0.4947"
"31010000","0.4975"
"31045000","0.5164"
"31080000","0.5023"
"31115000","0.4802999999999999"
"31150000","0.506"
"31185000","0.512"
"31220000","0.5006"
"31255000","0.4946"
"31290000","0.5009"
"31325000","0.4926"
"31360000","0.5075"
"31395000","0.5006"
"31430000","0.4975"
"31465000","0.5124000000000001"
"31500000","0.4924"
"31535000","0.5008"
"31570000","0.496"
"31605000","0.4946"
"31640000","0.4741"
"31675000","0.5091"
"31710000","0.5051"
"31745000","0.4908"
"31780000","0.5051"
"31815000","0.5074"
"31850000","0.5057"
"31885000","0.5177999999999999"
"31920000","0.5161"
"31955000","0.508"
"31990000","0.4986"
"32025000","0.5075000000000001"
"32060000","0.5157999999999999"
"32095000","0.5260999999999999"
"32130000","0.5191"
"32165000","0.5253"
"32200000","0.5337999999999999"
"32235000","0.5378999999999999"
"32270000","0.5358999999999999"
"32305000","0.5285"
"32340000","0.5355"
"32375000","0.538"
"32410000","0.5232"
"32445000","0.5234"
"32480000","0.5404"
"32515000","0.522"
"32550000","0.5145"
"32585000","0.5480999999999999"
"32620000","0.5375"
"32655000","0.5458999999999999"
"32690000","0.5305"
"32725000","0.5444000000000001"
"32760000","0.5442"
"32795000","0.5348"
"32830000","0.5162"
"32865000","0.5337000000000001"
"32900000","0.5428"
"32935000","0.5589"
"32970000","0.5490999999999999"
"33005000","0.5548"
"33040000","0.5572999999999999"
"33075000","0.5496"
"33110000","0.5667000000000001"
"33145000","0.5443000000000001"
"33180000","0.5548000000000001"
"33215000","0.5418"
"33250000","0.5434000000000001"
"33285000","0.5527"
"33320000","0.5488999999999999"
"33355000","0.557"
"33390000","0.5505"
"33425000","0.5473"
"33460000","0.5459"
"33495000","0.5677000000000001"
"33530000","0.5179"
"33565000","0.54"
"33600000","0.5350999999999999"
"33635000","0.5422"
"33670000","0.5355999999999999"
"33705000","0.5502999999999999"
"33740000","0.5574"
"33775000","0.5502999999999999"
"33810000","0.5527000000000001"
"33845000","0.5535"
"33880000","0.5728"
"33915000","0.5765"
"33950000","0.5706"
"33985000","0.5804000000000001"
"34020000","0.572"
"34055000","0.5903"
"34090000","0.586"
"34125000","0.5889"
"34160000","0.5751999999999999"
"34195000","0.5747000000000001"
"34230000","0.5605"
"34265000","0.5835"
"34300000","0.5789000000000001"
"34335000","0.5802"
"34370000","0.5841"
"34405000","0.5564"
"34440000","0.5912000000000001"
"34475000","0.6013"
"34510000","0.5758999999999999"
"34545000","0.5966"
"34580000","0.5983999999999999"
"34615000","0.5873999999999999"
"34650000","0.5775"
"34685000","0.5882000000000001"
"34720000","0.5805999999999999"
"34755000","0.5828"
"34790000","0.5941000000000001"
"34825000","0.5895"
"34860000","0.6183"
"34895000","0.5939000000000001"
"34930000","0.5731"
"34965000","0.5989000000000001"
"35000000","0.6147"
"35035000","0.6177999999999999"
"35070000","0.6111"
"35105000","0.5784"
"35140000","0.5976999999999999"
"35175000","0.5979000000000001"
"35210000","0.6097"
"35245000","0.5978"
"35280000","0.6131"
"35315000","0.6030999999999999"
"35350000","0.6162000000000001"
"35385000","0.626"
"35420000","0.612"
"35455000","0.6181"
"35490000","0.606"
"35525000","0.6072000000000001"
"35560000","0.6251"
"35595000","0.6083999999999999"
"35630000","0.6046999999999999"
"35665000","0.5993"
"35700000","0.6180999999999999"
"35735000","0.6153"
"35770000","0.6027"
"35805000","0.6025999999999999"
"35840000","0.6102000000000001"
"35875000","0.6023999999999999"
"35910000","0.5889000000000001"
"35945000","0.6011"
"35980000","0.5892999999999999"
"36015000","0.6151"
"36050000","0.6159"
"36085000","0.5982999999999999"
"36120000","0.6154"
"36155000","0.6129000000000001"
"36190000","0.6105999999999999"
"36225000","0.6106999999999999"
"36260000","0.6236"
"36295000","0.6207999999999999"
"36330000","0.6244000000000001"
"36365000","0.6201"
"36400000","0.6083999999999999"
"36435000","0.6101"
"36470000","0.5911000000000001"
"36505000","0.6245"
"36540000","0.6417999999999999"
"36575000","0.6125"
"36610000","0.6164"
"36645000","0.6066999999999999"
"36680000","0.6122000000000001"
"36715000","0.6093"
"36750000","0.6144"
"36785000","0.6038000000000001"
"36820000","0.6255999999999999"
"36855000","0.6262000000000001"
"36890000","0.6192"
"36925000","0.6174000000000001"
"36960000","0.6157"
"36995000","0.5995999999999999"
"37030000","0.6289"
"37065000","0.6132000000000001"
"37100000","0.5923"
"37135000","0.612"
"37170000","0.6025"
"37205000","0.6252000000000001"
"37240000","0.6056999999999999"
"37275000","0.6007"
"37310000","0.5917"
"37345000","0.6132"
"37380000","0.6063000000000001"
"37415000","0.6237"
"37450000","0.5872"
"37485000","0.6202000000000001"
"37520000","0.6267999999999999"
"37555000","0.5992999999999999"
"37590000","0.6023999999999999"
"37625000","0.6083"
"37660000","0.6145999999999999"
"37695000","0.6130999999999999"
"37730000","0.6175"
"37765000","0.6269"
"37800000","0.6042000000000001"
"37835000","0.5924"
"37870000","0.6040999999999999"
"37905000","0.5945"
"37940000","0.605"
"37975000","0.5912999999999999"
"38010000","0.6126"
"38045000","0.6092000000000001"
"38080000","0.6053"
"38115000","0.6103"
"38150000","0.5952999999999999"
"38185000","0.6213"
"38220000","0.6172000000000001"
"38255000","0.594"
"38290000","0.597"
"38325000","0.5985"
"38360000","0.6171"
"38395000","0.6106999999999999"
"38430000","0.6203"
"38465000","0.652"
"38500000","0.6296"
"38535000","0.6272000000000001"
"38570000","0.6312000000000001"
"38605000","0.6352000000000001"
"38640000","0.6522"
"38675000","0.6463"
"38710000","0.6456999999999999"
"38745000","0.6557999999999999"
"38780000","0.6123999999999999"
"38815000","0.6420999999999999"
"38850000","0.6316"
"38885000","0.6412"
"38920000","0.6461999999999999"
"38955000","0.6190999999999999"
"38990000","0.6277999999999999"
"39025000","0.6254"
"39060000","0.6582"
"39095000","0.6443"
"39130000","0.6506000000000001"
"39165000","0.6505"
"39200000","0.6486"
"39235000","0.6527000000000001"
"39270000","0.644"
"39305000","0.6537999999999999"
"39340000","0.656"
"39375000","0.6456999999999999"
"39410000","0.6598999999999999"
"39445000","0.6357999999999999"
"39480000","0.6403"
"39515000","0.6465"
"39550000","0.6593"
"39585000","0.6287999999999999"
"39620000","0.6676"
"39655000","0.6514"
"39690000","0.6411999999999999"
"39725000","0.6339000000000001"
"39760000","0.6353"
"39795000","0.6557999999999999"
"39830000","0.6566"
"39865000","0.6413"
"39900000","0.6402"
"39935000","0.6376000000000001"
"39970000","0.6482"
